timestamp,object,alert,confidence,coords
2025-09-05 13:37:35,person,Caution,0.93,"[100.95680236816406, 89.2430419921875, 463.41033935546875, 358.01483154296875]"
2025-09-05 13:37:35,tie,Info,0.35,"[239.75302124023438, 264.8042297363281, 335.7449035644531, 358.303466796875]"
2025-09-05 13:37:35,chair,Info,0.30,"[0.48216602206230164, 297.6636962890625, 67.7642822265625, 358.78350830078125]"
2025-09-05 13:37:35,person,Caution,0.93,"[103.13195037841797, 89.52363586425781, 461.8648681640625, 358.7052307128906]"
2025-09-05 13:37:35,tie,Info,0.47,"[240.1554412841797, 264.94281005859375, 335.4689636230469, 358.6636962890625]"
2025-09-05 13:37:35,chair,Info,0.40,"[0.313210129737854, 297.46527099609375, 68.3622817993164, 359.1379089355469]"
2025-09-05 13:37:35,person,Caution,0.94,"[105.73289489746094, 89.42266082763672, 462.3909912109375, 358.5426940917969]"
2025-09-05 13:37:35,tie,Info,0.49,"[239.40481567382812, 260.83966064453125, 335.4644775390625, 358.75775146484375]"
2025-09-05 13:37:35,chair,Info,0.34,"[0.5031527280807495, 297.5897216796875, 68.72630310058594, 358.91607666015625]"
2025-09-05 13:37:36,person,Caution,0.94,"[107.28065490722656, 89.3384780883789, 463.1334228515625, 358.5861511230469]"
2025-09-05 13:37:36,tie,Info,0.46,"[240.30279541015625, 262.1761474609375, 335.8239440917969, 358.6641845703125]"
2025-09-05 13:37:36,chair,Info,0.34,"[0.6698256731033325, 297.3494567871094, 68.09593963623047, 359.08636474609375]"
2025-09-05 13:37:36,person,Caution,0.94,"[108.59703826904297, 89.34312438964844, 461.89764404296875, 358.53515625]"
2025-09-05 13:37:36,tie,Info,0.33,"[239.11973571777344, 260.3748474121094, 335.9211120605469, 356.66973876953125]"
2025-09-05 13:37:36,chair,Info,0.28,"[0.2515352666378021, 297.62176513671875, 68.32664489746094, 358.77880859375]"
2025-09-05 13:37:36,person,Caution,0.94,"[108.93335723876953, 89.28873443603516, 462.3160095214844, 358.5538330078125]"
2025-09-05 13:37:36,tie,Info,0.41,"[239.7431182861328, 260.820556640625, 335.5938720703125, 358.9593200683594]"
2025-09-05 13:37:36,chair,Info,0.33,"[0.19433829188346863, 298.3609924316406, 68.69544982910156, 357.48876953125]"
2025-09-05 13:37:36,person,Caution,0.94,"[108.8111801147461, 89.3689956665039, 462.977783203125, 358.52728271484375]"
2025-09-05 13:37:36,chair,Info,0.31,"[0.23308387398719788, 297.3597106933594, 68.70281219482422, 358.6883850097656]"
2025-09-05 13:37:36,tie,Info,0.31,"[239.8610382080078, 262.9920959472656, 335.7646484375, 358.8073425292969]"
2025-09-05 13:37:36,person,Caution,0.94,"[108.81368255615234, 89.09140014648438, 462.2695007324219, 358.44989013671875]"
2025-09-05 13:37:36,tie,Info,0.36,"[240.03292846679688, 260.68182373046875, 335.6866455078125, 358.87152099609375]"
2025-09-05 13:37:36,chair,Info,0.30,"[0.27779799699783325, 297.36846923828125, 69.08927917480469, 358.76531982421875]"
2025-09-05 13:37:36,person,Caution,0.94,"[108.6925277709961, 88.8986587524414, 462.1268615722656, 358.5531921386719]"
2025-09-05 13:37:36,tie,Info,0.44,"[239.68307495117188, 262.6502990722656, 335.94091796875, 358.80865478515625]"
2025-09-05 13:37:36,chair,Info,0.29,"[0.7318819761276245, 297.5005798339844, 67.71585845947266, 359.0156555175781]"
2025-09-05 13:37:36,person,Caution,0.93,"[108.17388153076172, 89.3084716796875, 462.51556396484375, 357.1675720214844]"
2025-09-05 13:37:36,tie,Info,0.38,"[240.39837646484375, 266.10626220703125, 337.0088806152344, 359.05029296875]"
2025-09-05 13:37:36,chair,Info,0.32,"[0.46143752336502075, 297.8611145019531, 68.51374053955078, 358.6717224121094]"
2025-09-05 13:37:36,person,Caution,0.94,"[108.55835723876953, 89.4797592163086, 462.1982727050781, 357.12689208984375]"
2025-09-05 13:37:36,chair,Info,0.45,"[0.23794908821582794, 297.4615478515625, 68.02503204345703, 358.7640075683594]"
2025-09-05 13:37:36,tie,Info,0.40,"[239.89910888671875, 266.0655517578125, 336.9156799316406, 350.92413330078125]"
2025-09-05 13:37:37,person,Caution,0.94,"[108.24018096923828, 89.49532318115234, 461.1240539550781, 357.32708740234375]"
2025-09-05 13:37:37,chair,Info,0.41,"[0.39379414916038513, 297.5277099609375, 68.08069610595703, 358.7865295410156]"
2025-09-05 13:37:37,tie,Info,0.27,"[239.43008422851562, 265.3019104003906, 336.81524658203125, 352.87933349609375]"
2025-09-05 13:37:37,person,Caution,0.94,"[108.13617706298828, 89.24220275878906, 461.85455322265625, 357.3271179199219]"
2025-09-05 13:37:37,chair,Info,0.40,"[0.28423604369163513, 297.432373046875, 68.36750793457031, 358.9520568847656]"
2025-09-05 13:37:37,tie,Info,0.40,"[239.69427490234375, 263.22222900390625, 336.4583435058594, 358.9168395996094]"
2025-09-05 13:37:37,person,Caution,0.94,"[108.46454620361328, 88.10533142089844, 460.720703125, 358.5426330566406]"
2025-09-05 13:37:37,tie,Info,0.40,"[239.59422302246094, 262.6592102050781, 335.8179626464844, 358.8387451171875]"
2025-09-05 13:37:37,person,Caution,0.94,"[103.7324447631836, 85.74279022216797, 459.6410217285156, 358.0120849609375]"
2025-09-05 13:37:37,tie,Info,0.28,"[248.56539916992188, 325.01007080078125, 296.5827941894531, 359.2927551269531]"
2025-09-05 13:37:37,person,Caution,0.93,"[92.37689208984375, 82.38158416748047, 451.4558410644531, 357.6485595703125]"
2025-09-05 13:37:37,tie,Info,0.31,"[237.53456115722656, 325.9230041503906, 284.991943359375, 358.7301940917969]"
2025-09-05 13:37:37,tie,Info,0.26,"[218.14830017089844, 256.98223876953125, 318.7113342285156, 353.39630126953125]"
2025-09-05 13:37:37,tv,Info,0.25,"[345.13714599609375, 229.10687255859375, 442.04437255859375, 284.8815002441406]"
2025-09-05 13:37:37,person,Caution,0.93,"[89.42642211914062, 81.52974700927734, 447.5771484375, 358.0596618652344]"
2025-09-05 13:37:37,person,Caution,0.94,"[67.46599578857422, 75.71981048583984, 435.8756408691406, 357.8116149902344]"
2025-09-05 13:37:37,person,Caution,0.92,"[42.2900390625, 69.64459228515625, 416.6955871582031, 358.40496826171875]"
2025-09-05 13:37:37,person,Caution,0.92,"[37.80692672729492, 67.78047180175781, 413.7027282714844, 358.0256652832031]"
2025-09-05 13:37:37,person,Caution,0.93,"[19.94158363342285, 63.785213470458984, 396.690673828125, 357.724609375]"
